track,Album,Artist,release_date,All Time Rank,January,February,March,April,May,June,July,August,September,October,spotify_streams,youtube_streams,YouTube Likes,TikTok Posts,TikTok Likes,tiktok_streams,YouTube Playlist Reach,Apple Music Playlist Count,apple_music_streams,SiriusXM_streams,Deezer Playlist Count,deezer_streams,Amazon Playlist Count,pandora_streams,Pandora Track Stations,soundcloud_streams,Shazam Counts
911,911,Sech,2/5/2021,2058,,,,,,,,,,,352258962,415445675,2300245,321298,59055794,425874947,5980666,43,26965,92,7,59604,22,13388831,4469,4291370,943449
"...And to Those I Love, Thanks for Sticking Around",STOP STARING AT THE SHADOWS,$uicideboy$,2/14/2020,1709,,,,,,,,,,,675082623,269460083,3292285,429682,52925469,318296586,5466526,14,9,,5,22406,,11746442,31117,,3195912
...Baby One More Time (from Kung Fu Panda 4),Kung Fu Panda 4 (Original Motion Picture Soundtrack),Tenacious D,3/8/2024,2406,,,,,,,,,,,28423160,33548614,846916,,,,,12,3160,12,,,,769869,607,152405,
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift,10/26/2023,2908,,,,,,,,,,,265932119,10688311,218021,57311,24038841,148790467,1023354836,14,6497,5,19,512287,33,2649309,1180,,362874
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,105,,,,,,,,,,,460156070,8183226,98257,530103,65920648,1032799567,56004473,,195140,,102,3034022,111,1132923,1312,9451176,9279625
#BrooklynBloodPop!,#BrooklynBloodPop!,SyKo,7/27/2020,2230,,,,,,,,,,,289085486,247178404,3983154,1939369,289578955,2184568318,86473112,4,10,,,,2,3362791,11273,264657,4423775
"0 Sentimientos (Remix) [feat. Baby Rasta, Noriel, Darkiel, Messiah & Lyan]",Chosen Few: New Generation,Boy Wonder CF,11/21/2023,2272,,,,,,,,,,,272261201,,,,,,,2,1,,,,,67028949,47571,,
02.02.99,02.02.99,That Mexican OT,1/9/2024,4439,,,,,,,,,,,38388843,25838329,341078,,,,213315892,3,68,107,,,2,3150471,1341,,226812
0800 HEAVEN,0800 HEAVEN - Single,Nathan Dawe,6/9/2023,3878,,,,,,,,,,,68189858,15853723,71513,573,243524,4189925,74920373,44,66669,205,19,184386,11,198047,36,1981079,521658
085 - Ao Vivo,Pode Cr�� (Ao V,MC Rogerinho,1/12/2023,4401,,,,,,,,,,,126063862,129157973,401990,313900,50275998,650000898,2179962,4,56,,13,567142,3,,,,97522
1-800-273-8255,1-800-273-8255,Logic,4/28/2017,1427,,,,,,,,,,,1332154389,731296296,9138105,472428,26348380,176473936,150565249,114,286,8,32,229786,21,331251079,299963,,6612245
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sof��a R,2/16/2018,983,,,,,,,,,,,667508675,1001147152,7847053,7162351,628778954,8778203835,433920815,97,36727,152,63,323404,41,12798124,11917,,8994016
10 Carros,10 Carros,Chefin,11/23/2023,1380,,,,,,,,,,,92949075,120775698,1007986,,427521,2569410,366109913,,8,,17,420366,14,,,,
10 Freaky Girls (with 21 Savage),NOT ALL HEROES WEAR CAPES,Metro Boomin,11/2/2018,3894,,,,,,,,,,,630863087,93297998,924489,2782,830969,9867664,8322108,34,1753,62,8,45047,20,8811139,20609,,1411636
10 Things I Hate About You,10 Things I Hate About You,Leah Kate,3/23/2022,2496,,,,,,,,,,,238502829,26154092,390129,1569194,185586256,2205444414,3453749,17,33938,760,8,66599,7,23587662,15146,,692500
"10,000 Hours","10,000 Hours (with Justin Bieber)",Dan + Shay,10/4/2019,3364,,,,,,,,,,,1060667446,361854211,3836505,1100000,42020635,381934707,801371563,124,259442,311,49,158029,6,214049080,134289,,3466968
10:35,10:35,Ti��,11/3/2022,958,,,,,,,,,,,539802784,94379586,652780,11473,5762615,119710596,487764676,187,60512,265,80,1747753,64,43487605,7144,,2064142
100 MESSAGGI,100 MESSAGGI,Lazza,2/27/2024,2219,,,,,,,,,,,69972816,30283430,232134,,,,59168102,13,11835,,3,3785899,25,1861,2,,
1000 Blunts,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,7/29/2022,2237,,,,,,,,,,,189588270,87680985,700043,190,31952,432059,4870198,,2,,,,,6559431,3552,14217001,240381
11:00 PM,11:11,Maluma,5/17/2019,1596,,,,,,,,,,,719602988,1040666593,3868761,33557,2730302,29561419,366558466,71,22273,240,39,579722,31,105491631,23969,,2007313
123 Song,123 Song,D Billions,10/23/2019,1214,,,,,,,,,,,628692,1754170433,3004414,458,12632,669921,,,,,,,,,,,9438
2 Balas,2 Balas,Roylimar y Royerlin,3/8/2024,3159,,,,,,,,,,,853397,41848181,493092,94800,5045789,94888400,,,,,,,,,,,3223
2 Be Loved (Am I Ready),Special,Lizzo,7/15/2022,1525,,,,,,,,,,,335194737,63109208,453293,116231,87255462,1189348894,2043679941,32,310508,786,33,1463818,17,23408066,4415,,
2 Hielos,2 Hielos,King Savagge,2/2/2023,2443,,,,,,,,,,,76078240,60811918,330400,1301526,130766543,1479348962,39905,4,235,,,,2,12110,35,,187445
2 Million Up,ONLY BUILT 4 DIAMOND LINKS,Peezy,8/12/2022,4503,,,,,,,,,,,59038013,67576838,510771,131279,65223102,549768980,10702053,16,81752,1278,3,37754,,6360246,5199,,969319
2 Phones,2 Phones,Kevin Gates,11/6/2015,3083,,,,,,,,,,,384977271,54470349,646820,99563,19991242,129310076,,46,424,28,4,3857,10,344533623,282610,77602717,1751139
2/Catorce,2/Catorce,Rauw Alejandro,2/14/2021,1107,,,,,,,,,,,534981600,607206864,3535828,833539,233010597,2285726710,149174449,74,9184,,13,245959,32,41372873,8091,,1847960
20 Min,Luv Is Rage 2 (Deluxe),Lil Uzi Vert,11/17/2017,2830,,,,,,,,,,,1006734157,106339744,850717,43585,19855293,144628943,,19,911,4,5,15053,2,26931509,31699,,2385566
20 Tragos,20 Tragos,Yi�,11/25/2022,2568,,,,,,,,,,,477396,388682045,2199489,20,3983,52662,2285487,,7,,,,,,,,315
2002 - Remix,2002 (Remix),Shaun Reynolds,5/11/2018,1136,,,,,,,,,,,303962,,,16501062,9430921,137616390,,,,,,,,,,,260
21 Reasons (feat. Ella Henderson),21 Reasons (feat. Ella Henderson),Nathan Dawe,4/29/2022,2964,,,,,,,,,,,305830522,33342986,195870,9907,3779521,88167309,2477288175,88,130577,,44,784381,30,136071,182,,1765444
223's (feat. 9lokknine),223's (feat. 9lokknine),YNW Melly,8/9/2019,609,,,,,,,,,,,484542375,164470388,1490017,6584665,105210640,999433711,15442781,13,434,,5,31550,,44167227,99074,82438907,1457720
23 Preguntas,23 Preguntas - Single,Anuel AA,8/23/2021,4158,,,,,,,,,,,154250706,284578688,1844499,48300,5657914,57372493,25292068,20,1699,,7,2284818,6,8480611,2227,,435928
24 (feat. Lil Baby),24 (feat. Lil Baby),Money Man,8/14/2020,3267,,,,,,,,,,,390733154,131372042,1114310,7376,2506375,24693976,4105289,49,43,40,,,2,76615431,34462,,
"24/7, 365","24/7, 365",elijah woods,7/24/2023,2359,,,,,,,,,,,91124161,31715988,242939,614000,19960842,303931523,,13,2410,,,,10,310794,212,,382697
24K Magic,24K Magic,Bruno Mars,10/7/2016,1340,,,,,,,,,,,1425996809,181151693,1671253,3667431,115712320,968641395,1465245,238,240328,368,153,1257927,46,301404498,407873,,
24K Magic,"NOW That's What I Call Music, Vol. 61",Bruno Mars,1/27/2017,1882,,,,,,,,,,,1425996809,1917522970,10237469,,,,1676191851,2,,,,,,,,,
2Humpy is Back,2Humpy is Back,2Rare,4/5/2024,1861,,,,,,,,,,,299871,,,387200,5817255,40815691,,1,1,,,,7,82867,56,,20511
3 Haseln��,3 Haseln��sse - Si,Jaques Raup�,12/1/2023,4595,,,,,,,,,,,25822176,7041124,127998,4034,1858466,31061916,48311550,8,250,,9,163999,1,,,33508,312177
3 Headed Goat (feat. Lil Baby & Polo G),3 Headed Goat,Lil Durk,5/7/2020,3294,,,,,,,,,,,354889332,143802247,1597342,32776,14487556,91865926,19727912,53,5126,,7,47181,7,24480728,26981,,881261
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,10/16/2018,2929,,,,,,,,,,,987061577,118458946,1182389,87128,32067807,219224269,5644556,164,5728,178,65,915322,27,18478625,37571,,5057667
3:15 (Breathe),3:15 (Breathe),Russ,5/21/2021,1406,,,,,,,,,,,303510160,153123397,1415230,2651150,208703319,2457741991,6126413,3,895,24,,,,6227767,8443,8179979,1253652
30 GRADOS,30 Grados,El Turko,1/26/2024,1662,,,,,,,,,,,50652672,82330184,425441,,,,188028164,3,599,,5,324993,9,,,,116390
30 GRADOS RKT,30 GRADOS RKT,RUNE,6/8/2024,1422,,,,,,,,,,,50652672,,,,,,,,,,,,,,,,
300 Noches,300 Noches,Belinda,4/25/2024,1937,,,,,,,,,,,51637997,17476503,309492,,,,2635352,7,2208,,8,1175213,16,12157,90,1427,131747
34+35,Positions,Ariana Grande,10/30/2020,727,,,,,,,,,,,978617707,722372895,11582120,254060,60197709,359903081,472873487,109,329936,514,29,259515,20,69822231,54449,,1769544
3D (feat. Jack Harlow),3D (feat. Jack Harlow),Jung Kook,9/29/2023,559,,,,,,,,,,,573249007,166687005,4539515,30142,9786252,66859275,1859365360,19,,25,30,1569004,49,2506963,1609,,1379108
400 Degreez,400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,687,,,,,,,,,,,11610247,,,,,,,,,,,,,34195379,82220,,
5 Foot 9,5 Foot 9,Tyler Hubbard,5/20/2022,1742,,,,,,,,,,,193680404,893876,7807,104632,16161805,161738459,,18,283251,155,2,87897,29,88808802,26418,5072427,670234
500lbs,500lbs,Lil Tecca,7/21/2023,349,,,,,,,,,,,350584176,32342535,452857,638,1056379,11627298,277256864,19,1239,1452,5,31145,19,2538334,6256,18379949,776386
52 Gaj Ka Daman,52 Gaj Ka Daman,Renuka Panwar,10/2/2020,719,,,,,,,,,,,48929060,1736697874,8477892,825678,10675705,163717881,28730147,1,5,,,,,,,,148140
6 In the Morning (feat. Nate Dogg),6 In the Morning (feat. Nate Dogg) - Single,Flex (UK),5/17/2024,785,,,,,,,,,,,4505404,,,,,,,2,25,,2,34694,31,,,3150291,24801
6. A.M.,Motion is Emotion,Azul,10/7/2022,356,,,,,,,,,,,1186,1231300374,3158558,,,,248653921,,1,,,,,,,,
679 (feat. Remy Boyz),679 (feat. Remy Boyz),Fetty Wap,6/29/2015,1863,,,,,,,,,,,808010338,690889020,4272301,1014761,52308653,243314330,258112509,1,44246,375,6,4160,,,,91184574,4663057
7 Minute Drill,Might Delete Later,J. Cole,4/5/2024,4494,,,,,,,,,,,15948344,2127850,70258,,,,,6,1052,,1,12303,,1543917,882,,101755
7 rings,7 rings,Ariana Grande,1/18/2019,274,,,,,,,,,,,2262490403,1903198886,22206277,3040090,282688098,2620954252,2185559044,220,176589,945,87,1044537,76,301142482,409686,,7983512
7 Summers,7 Summers,Morgan Wallen,8/14/2020,4038,,,,,,,,,,,433429705,108280492,418212,404913,40464743,273205308,162712220,33,44492,14,2,3148,15,77905510,39530,5301405,667963
7 Years,Lukas Graham (Blue Album),Lukas Graham,6/16/2015,475,,,,,,,,,,,1916203330,2155590787,17104498,1080789,102852730,877998186,1859362069,176,119470,79,62,247841,29,608909370,838417,43283341,
8 Parche,8 Parche,Baani Sandhu,9/12/2019,1436,,,,,,,,,,,96829196,1058000530,6138968,3510631,56260142,840026921,157188734,3,136,,,,4,,,,242965
8 Raflaan (feat. Gurlez Akhtar),8 Raflaan (feat. Gurlez Akhtar),Mankirt Aulakh,3/23/2021,4477,,,,,,,,,,,22697447,289466687,2021002,1507900,20936670,464077604,156454933,4,,,1,231,1,1562,9,,50977
8:00 AM,8:00 AM,Nicki Nicole,5/17/2023,2601,,,,,,,,,,,135465283,106663098,736558,197600,59387239,500108092,24978941,20,2340,5,19,222294,15,892114,331,16447,225730
8am in Charlotte,For All The Dogs,Drake,10/6/2023,2207,,,,,,,,,,,81093233,4234309,51965,17500,1977355,17415834,,7,401,1,3,135946,,391257,932,,385268
9 bis 9,9 bis 9,SIRA,5/5/2023,3935,,,,,,,,,,,107950388,1812251,22038,30050,3246009,30673708,134478578,18,15873,,11,3411294,7,,,,275083
"90-90 Nabbe Nabbe (From ""Jatt Nuu Chudail Takri"")","90-90 Nabbe Nabbe (From ""Jatt Nuu Chudail Takri"")",Gippy Grewal,2/20/2024,1892,,,,,,,,,,,6576855,66986452,456000,128600,774,6127,33272955,1,91,,,,,,,,43588
9mm,Memphis Cult Vol. 6,Memphis Cult,2/23/2023,2754,,,,,,,,,,,157826873,33874675,706576,564,43560,587731,,5,2,,1,70402,,,,5331366,1530751
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,37,,,,,186008040,67784167,147020788,48526939,100200683,90769937,311928522,62694868,837616,,27811667,378313942,243895569,149,60470,141,58,26516005,146,21453034,30180,4482348,1707213
A Cara do Crime (N��s Incom,A Cara do Crime (N��s Incom,Mc Poze do Rodo,5/27/2021,2076,,,,,,,,,,,167885356,623156045,4494258,62871,2554504,35359820,196485248,14,4,,17,257093,7,,,,288490
A Cold Sunday,A Cold Sunday,Lil Yachty,2/2/2024,3128,,,,,,,,,,,56789868,1611737,30207,,,,,9,323,211,3,19242,10,1133744,842,,280964
A Ella,A Ella,KAROL G,5/5/2017,4456,,,,,,,,,,,365062854,893949453,3847991,69294,7236983,109160109,117031962,20,1956,32,12,245806,14,57470493,19752,2498936,501725
A La Antig��,Vamos Bien,Calibre 50,2/5/2021,1636,,,,,,,,,,,435614687,611062174,2855683,451172,67870968,823863869,6950165,28,12073,285,13,1824707,28,83080877,22637,,969111
A LA ORDEN,A LA ORDEN - Single,Santa Fe Klan,5/23/2024,4437,,,,,,,,,,,4453194,9104356,198623,,,,125856157,1,2,,2,92435,,17261,116,,17457
a lot,i am > i was,21 Savage,12/21/2018,872,,,,,,,,,,,949835159,905118647,6526285,55114,16502363,131214658,180070256,70,94446,82,28,160500,30,123783971,95694,,3759769
A Mimir En El Chat,A Mimir En El Chat,Dejavu FF,4/16/2024,4382,,,,,,,,,,,288153,26302423,331850,,,,8513075,,,,,,,,,,3122
A M�,A M�,Rels B,2/21/2019,2716,,,,,,,,,,,631152992,655475553,3056895,154600,53883893,353157722,,16,1313,,12,222155,10,219368,1301,,1136830
A N X I E T Y (feat. Doechii),Boy Meets World,Sleepy Hallow,9/15/2023,2939,,,,,,,,,,,63607535,7769494,107161,7102,2436874,21062791,,6,9892,441,14,181610,20,2021815,746,,288746
A Puro Dolor,A Puro Dolor - Single,Gabito Ballesteros,12/2/2023,2098,,,,,,,,,,,145332157,79026835,407599,,115698,670588,1351870315,8,701,7,8,8103118,4,738838,412,215913,233530
A Real Playa,A Real Playa - Single,Parsa Nani,5/24/2024,2158,,,,,,,,,,,17255,24805,335,,,,,2,23,,1,4848,,,,1722752,1867
A Sky Full of Stars,Los N��meros 1 De 40 (El Disco De Los ��,Coldplay,1/1/2014,3421,,,,,,,,,,,1490987063,395515510,2684342,971368,157727782,1583375110,8447636,12,167558,136,308,906029,39,,,,
A Thousand Years,A Thousand Years,Christina Perri,10/18/2011,964,,,,,,,,,,,1654956613,2989286684,19870174,4479720,848530861,8594414469,1579447076,94,88803,66,66,114244,46,,,68,15974659
A Thousand Years,A Thousand Years,Aldy Santos,2/27/2017,2062,,,,,,,,,,,13112,75926,1615,,,,,,48,,,,,984853868,1264207,,17251
A Tu Manera,A Tu Manera,Junior H,2/16/2024,4138,,,,,,,,,,,60248282,28873716,428928,,,,395098267,5,51,,4,1290245,2,2542304,782,33816,134122
A Tu Merced,YHLQMDLG,Bad Bunny,2/29/2020,2856,,,,,,,,,,,778269101,357643934,1517496,80500,42847884,287886349,1278210,35,3929,,12,77806,8,26315157,4614,,671048
"A ver, a ver - Ric Piccolo Edit","A ver, a ver (Ric Piccolo Edit)",Donald,8/24/2022,2666,,,,,,,,,,,67852,421207701,529059,,,,,1,557,,,,,,,,
A-O-K,A-O-K,Tai Verdes,5/6/2021,1982,,,,,,,,,,,389915082,12456282,162382,787994,412779417,3623326028,26683,57,67375,1665,9,48700,22,106214243,30063,,1518022
Aa,Aa,Roach Killa,9/28/2023,2963,,,,,,,,,,,22552299,136381379,1340784,,,,946681826,,678,,,,5,,,,180207
AA,AA,Walker Hayes,11/19/2021,4389,,,,,,,,,,,80899019,68620784,468664,26941,9119456,116447096,213619922,11,105035,91,2,95374,17,146613382,30173,,761595
Aashiq Awaara (feat. Sunidhi Chauhan),ONE (Original Never Ends),Badshah,8/17/2018,4056,,,,,,,,,,,2574126,1033803791,4709012,158,16676,2785871,100641302,4,150,,,,2,462916,,,17003
Abc,Abc,J Ross,2/14/2023,145,,,,,,,,,,,31867,1538564650,2066653,,,,,,174,,,,,,,,1178
Abcdario,Abcdario,Eden Mu��,5/13/2023,1738,,,,,,,,,,,262504588,149083889,660503,1,33,939,10312183,20,1140,,5,1365319,3,8484383,4718,2834823,657427
abcdefu,abcdefu,GAYLE,8/13/2021,206,,,,,,,,,,,1128273165,499895662,6801671,2167302,1127247971,12414681151,3366280433,209,470778,1509,79,4946332,45,154675499,105068,,7565502
Abejita Chiquitita,Las Canciones de Plim Plim Vol. 8,El Payaso Plim Plim,9/8/2023,1102,,,,,,,,,,,5741262,272927101,395965,47200,343,11056,,,14,,1,16453,1,,,,6795
About Damn Time,Special,Lizzo,7/15/2022,3881,,,,,,,,,,,847025688,106024874,1080393,3030761,1522267606,15665483220,22274346,215,1024138,2826,155,1786452,102,87318771,55460,,5445721
About You,Being Funny In a Foreign Language,The 1975,10/14/2022,2506,,,,,,,,,,,350348521,63111604,494666,117002,112061372,793536731,2197815,32,27952,5,5,224543,16,1164726,818,446223,508585
"Abrar���s Entry | Jamal Kudu ""ANIMAL"")","Abrar���s Entry | Jamal Kudu ""ANIMAL"")",Harshavardhan Rameshwar,12/6/2023,704,,,,,,,,,,,56885072,221866727,3018127,,,,663300068,7,,,,,5,,,,1025493
Acapulco,Acapulco,Jason Derulo,9/3/2021,2608,,,,,,,,,,,442260324,83588626,799248,42377,35703303,310298540,865166511,65,129690,160,34,1756415,18,47696206,7006,1797110,
Accendio,IVE SWITCH,IVE,4/29/2024,1418,,,,,,,,,,,12367963,33432764,738560,,,,,7,102,,1,91,2,33910,15,51222,30525
ACHO PR,nadie sabe lo que va a pasar ma��,Bad Bunny,10/13/2023,4505,,,,,,,,,,,66274186,17411507,366440,1451,369478,4607495,1187018,8,415,,1,14061,1,1897748,334,,213711
Acr��s,Acr��stico - Si,Shakira,5/11/2023,134,,,,,,,,,,,230849195,363082908,5135848,4897595,104580759,1551501289,150614267,49,24103,214,25,319914,33,23525446,4705,,623446
act ii: date @ 8,act ii: date @ 8,4batz,12/7/2023,414,,,,,,,,,,,153364964,32239845,576013,534000,88331091,749015170,34306328,33,48625,994,7,935612,1,884939,1670,,1458037
act ii: date @ 8 (remix),act ii: date @ 8 (feat. Drake) [remix],4batz,3/8/2024,627,,,,,,,,,,,89787741,,,,,,,49,36850,,34,1475723,44,6065308,1556,,585899
act iii: on god? (she like),act iii: on god? (she like) - Single,4batz,3/1/2024,3206,,,,,,,,,,,23065156,9568515,227421,,,,828041,14,156,44,,,7,490398,283,1807347,140665
Adan y Eva,Adan y Eva,Paulo Londra,11/5/2018,1383,,,,,,,,,,,915772593,1320370692,7869990,405778,13302015,107834415,278921137,45,10796,28,41,245201,24,3564174,5042,,2131758
Adderall (Corvette Corvette),Adderall (Corvette Corvette),Popp Hunna,10/14/2020,332,,,,,,,,,,,90383224,29836991,627377,16892400,462872272,4082175492,1067,20,470,423,6,22115,3,6283417,26512,10556085,759001
Addicted,Addicted (feat. Ink) - Single,Zerb,3/29/2024,1170,,,,,,,,,,,63142772,320436,6638,7812,3088170,63352002,,23,22016,53,18,586251,44,4517869,457,,512040
Adem��s de M��,Adem��s de M��,Rusherking,3/4/2021,3309,,,,,,,,,,,206311125,452730002,3243360,,,,108084173,10,204,6,5,33769,8,,,,266387
Adictiva,Adictiva,Daddy Yankee,11/9/2018,3817,,,,,,,,,,,428271245,587689921,2696020,352314,5880730,67856339,175065357,34,8014,36,25,158052,12,81908473,7955,,1097094
Adicto (with Anuel AA & Ozuna),Adicto (with Anuel AA & Ozuna),Tainy,8/22/2019,871,,,,,,,,,,,711861577,1359220447,4586141,611826,17295595,185706534,136934639,133,12356,18,25,360047,28,111865989,16392,5576102,1522049
Adios Amor,Adios Amor,Christian Nodal,2/16/2018,2517,,,,,,,,,,,597899105,1498558573,4666041,,,,183122996,,,,,,,,,,
ADIVINO,ADIVINO - Single,Myke Towers,4/25/2024,449,,,,,,,,,,,118631919,6595595,105964,,,,5565254,75,3903,11,39,3931309,37,1787057,310,,407768
ADI�,LA NENA DE ARGENTINA,Maria Becerra,12/8/2022,2157,,,,,,,,,,,172082938,215719591,857582,485700,55172498,874751736,17350637,3,11867,456,8,414587,10,196984,127,67782,308507
Admirin' You (feat. Preston Pablo),Admirin' You (feat. Preston Pablo),Karan Aujla,8/1/2023,2760,,,,,,,,,,,97989585,102363097,1045313,,,,,16,663,,1,117,19,25772,17,2727014,157502
adore u,adore u,Fred again..,8/11/2023,1141,,,,,,,,,,,129427492,10933079,80021,29740,8528307,135983684,82845102,69,43488,3,34,206415,46,801851,219,3403946,663446
Adore You,Adore You,Harry Styles,12/6/2019,442,,,,,,,,,,,1670164200,721445001,8290855,381926,125662413,805399161,1840306341,254,811625,408,131,1195898,59,137719148,80750,,6307292
Adventure Of A Lifetime,Adventure Of A Lifetime,Coldplay,11/6/2015,1546,,,,,,,,,,,1020239582,1713268429,7658837,152007,75090375,509184619,314721228,3,83494,162,76,839196,46,,,1017726,
Aesthetic,Aesthetic,Tollan Kim,3/4/2022,114,,,,,,,,,,,5712985,3120073,56276,20114495,2452502310,33870791454,,4,22,,4,1397,1,21564,81,,249823
Aesthetic,Aesthetic,Xilo,2/14/2020,969,,,,,,,,,,,27312761,3538161,118805,12562825,754488882,5979843010,86473112,6,,239,2,3328,,174203,2348,,26178
Afraid To Feel,Afraid To Feel,LF SYSTEM,5/2/2022,656,,,,,,,,,,,355203657,46743730,381567,201874,142211766,1767047572,746547494,112,113950,369,55,1570302,35,69412,1389,12813061,3424307
After Hours,After Hours,Kehlani,4/4/2024,1019,,,,,,,,,,,34629239,2560026,50310,,477400,4592500,14602910,49,36465,7,17,215137,32,4067131,1027,603693,349619
After Hours,After Hours,The Weeknd,2/19/2020,1424,,,,,,,,,,,942637026,335729967,2785787,93883,65547896,663247978,103976790,77,6999,,25,380791,12,21963852,20198,11959953,5916135
After LIKE,After LIKE - Single,IVE,8/22/2022,2169,,,,,,,,,,,365203093,281724902,2937674,4455,4713841,49211096,170632648,25,5378,122,6,76475,19,559111,595,,613332
After Party,Heaven Or Hell,Don Toliver,3/13/2020,2005,,,,,,,,,,,706711575,133159545,1623904,379039,144853884,1092802231,70837,70,17736,203,16,37040,11,11521920,46060,,1400011
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,1/12/2018,3256,,,,,,,,,,,589832336,208632840,2426614,43833,21945800,118952804,58506780,88,2371,,31,101096,21,19561450,14137,24178574,1800184
Afterglow,Equal,Ed Sheeran,1/1/2020,3345,,,,,,,,,,,461495506,183828202,2212191,224600,65566122,574322224,8907151,150,231033,81,51,659475,37,20459070,7837,,4121636
Again,Missing,Kurochuu,6/9/2024,155,,,,,,,,,,,136237285,,,,,,,,,,,,,,,,
Agora Hills,Scarlet,Doja Cat,9/22/2023,99,,,,,,,,,,,509653100,48045203,986278,328562,88846508,544437406,1561456615,80,400206,14,78,9341155,39,23110274,19559,,4295361
Agua (with J Balvin),"Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",Tainy,7/9/2020,822,,,,,,,,,,,391856304,1040938222,8443453,2490398,109826716,1423789944,329599890,73,23516,309,17,58326,36,9507064,15164,510422,1570803
Aguacero,Un Verano Sin Ti,Bad Bunny,5/6/2022,3068,,,,,,,,,,,342075557,128273450,963861,419100,226879716,1873295908,25525556,8,628,,,,,7618357,1397,,415047
Ah-Bop,Ah-Bop,Gene Ess,10/7/2022,3390,,,,,,,,,,,,359775065,320202,,,,,,1,,,,,,,,
AHHH HA,AHHH HA,Lil Durk,2/22/2022,4024,,,,,,,,,,,104411097,128163786,1321268,25400,7039088,64467510,262437541,19,6187,320,6,20046,3,14136317,5643,,382012
Ahora Dice,Ahora Dice,Chris Jedi,3/17/2017,1779,,,,,,,,,,,661732009,1555093288,6076859,345,262718,1702529,177167591,25,3761,,27,386492,28,155137197,43246,,2529986
Ahora Me Llama,Ahora Me Llama,KAROL G,5/26/2017,3208,,,,,,,,,,,338782953,1100136050,4740945,74386,9505223,99920646,157434221,25,1822,7,15,86989,10,89151096,22315,,1724227
Ai Preto,Ai Preto,L7NNON,6/3/2022,3178,,,,,,,,,,,219756697,247152121,1745948,508,6297,149298,175272203,22,103,,31,353396,8,,,13400,128502
Aigiri Nandini,Numinosum,Nagavalli,2/10/2023,1998,,,,,,,,,,,,392842852,1919579,,,,796,,1,,,,,,,,7
Ain't No Love In Oklahoma (From Twisters: The Album),Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,5/16/2024,507,,,,,,,,,,,33661899,3729783,62696,,201600,1441200,180045931,8,14021,1,5,6338,47,5036410,1867,262244,109089
Ain't Shit,Planet Her,Doja Cat,6/25/2021,2454,,,,,,,,,,,599547543,154979267,2179826,139585,104260172,557527051,45865195,112,157,,17,159069,5,16469827,27559,,1075422
Ain't Your Mama,Ain't Your Mama,Jennifer Lopez,4/7/2016,3562,,,,,,,,,,,478791369,964694090,6231853,512763,28874189,281205271,208345707,55,53264,36,64,394903,12,17832312,37983,143896,4680196
Ain���t Tha,One Thing At A Time,Morgan Wallen,3/3/2023,2302,,,,,,,,,,,210072827,35281929,221683,54106,6277486,92174906,91240010,8,2055,,,,2,61861012,13426,3550321,172414
AirBnb,Valedictorian,ian,5/17/2024,4519,,,,,,,,,,,3970523,408201,9173,,,,,2,,,,,,3398,11,671893,
"Akh Lad Jaave (From ""Loveyatri"")","Akh Lad Jaave (From ""Loveyatri"")",Badshah,8/23/2018,3950,,,,,,,,,,,97600091,966173774,5203477,,2364,49191,131470144,14,681,,,,7,,,,432493
Akher Yawm,Akher Yawm - Single,Ghaliaa,8/7/2023,2109,,,,,,,,,,,447624,20172,453,1600000,23539380,479314735,,,7,,,,,,,,42579
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,1/19/2024,848,,,,,,,,,,,114992281,144797885,1123962,,,,1197864632,19,555,,,,27,,,,286797
Aking Pahinga - Sped Up Version,Aking Pahinga (feat. I-ghie) [Sped Up Version] - Single,Dro Perez,12/15/2022,4184,,,,,,,,,,,4671066,,,1800000,21960206,257457879,,,,,,,,,,,6026
Aku Sayang Tapi Kau Tak Paham,Aku Sayang Tapi Kau Tak Paham,DJ Boneng,11/15/2023,902,,,,,,,,,,,716453,12045,174,1800000,2635212,100001777,,,,,,,,,,,
ALCH SI,Alch Si,Carin Leon,11/30/2023,4061,,,,,,,,,,,125938742,44462722,287551,,,,273265348,5,,,10,8755716,13,,,,306536
Alcohol-Free,Alcohol-Free,TWICE,6/9/2021,3634,,,,,,,,,,,224295163,398036555,5248109,154492,122614400,811061720,162479822,25,2581,46,1,32602,25,483553,1561,,339808
Algo M��,Algo M��,Rauw Alejandro,6/25/2020,3648,,,,,,,,,,,304134537,345512160,1952713,327887,43897868,279992648,4682360,40,860,,6,46735,10,3511988,1365,995870,872301
